case_id,HHID,hh_g00_1,hh_g00_2,consumedYN,food_item_other,food_item,consumption_quantity,consumption_unit,consumption_unit_label,consumption_unit_oth,consumption_subunit_1,consumption_subunit_2,hh_g04a,hh_g04b,hh_g04b_label,hh_g04b_oth,hh_g04c,hh_g04c_1,hh_g05,hh_g06a,hh_g06b,hh_g06b_label,hh_g06b_oth,hh_g06c,hh_g06c_1,hh_g07a,hh_g07b,hh_g07b_label,hh_g07b_oth,hh_g07c,hh_g07c_1,food_item_code,hh_members,consumption_per_person,region
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,704,4.5,23,23,LARGE BASKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,704,7,0.6428571428571429,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,822,1.5,23,23,LITRE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,822,3,0.5,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,835,7,72,72,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,835,4,1.75,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,912,0.5,23,23,TINA (HEAPED),NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,912,7,0.07142857142857142,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,915,4.5,7A,7,,NA,1,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,915,3,1.5,3
201011000001,ee2d2915a43d589af42a8b88c279698d,2,2,1,,5031,2,23,23,LARGE BASKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,5031,8,0.25,3
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,102,10,7,7,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,102,2,5,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,108,3.5,59,59,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,108,4,0.875,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,109,3.5,27A,27,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,109,6,0.5833333333333334,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,SNACKS,117,4.5,23,23,TONEC,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,117,1,4.5,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,204,7,60,60,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,204,5,1.4,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,409,4.5,23,23,80G PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,409,3,1.5,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,TINNED BEANS,412,1.5,23,23,SMALL  PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,412,1,1.5,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,607,8.5,23,23,PLATE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,607,10,0.85,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,707,2.5,23,23,TINA (HEAPED),NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,707,2,1.25,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,708,7.5,23,23,MANGO,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,708,6,1.25,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,MISALE,804,2,23,23,PIECE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,804,10,0.2,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,SODA,818,7,23,23,PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,818,4,1.75,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,824,7,23,23,MEDIAM SACHET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,824,2,3.5,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,827,7,23,23,20 LITRE PAIL,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,827,4,1.75,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,829,1.5,23,23,TIMES,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,829,8,0.1875,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,831,7.5,23,23,25 GRAM SATCHET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,831,6,1.25,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,833,8.5,23,23,HALF LOAF,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,833,6,1.4166666666666667,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,906,5,1,1,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,906,10,0.5,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,912,5.5,23,23,CARTON SMALL,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,912,5,1.1,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,KATATA,916,4.5,23,23,LARGE NDOWA,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,916,2,2.25,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,5021,6.5,23,23,6 PACK,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,5021,9,0.7222222222222222,1
201011000002,23d0a64bef9c68896ab464af581c47be,2,2,1,,5123,0.5,10A,10,,1,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,5123,5,0.1,1
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,103,7.5,23,23,SCUD,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,103,6,1.25,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,110,9,23,23,300GRAMS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,110,8,1.125,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,113,8,25A,25,,NA,1,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,113,5,1.6,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,118,1.5,23,23,HEAP TINA,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,118,3,0.5,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,206,7,73,73,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,206,6,1.1666666666666667,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,PEAS,310,6,27E,27,,NA,2,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,310,4,1.5,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,311,10,23,23,RUBE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,311,9,1.1111111111111112,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,312,4,60,60,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,312,9,0.4444444444444444,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,408,1,23,23,BAR,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,408,6,0.16666666666666666,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,501,9,23,23,20G,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,501,4,2.25,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,605,3.5,23,23,BATCHES,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,605,10,0.35,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,606,6.5,18,18,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,606,2,3.25,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,811,6.5,7B,7,,NA,2,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,811,5,1.3,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,814,3,34,34,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,814,1,3,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,817,5.5,7,7,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,817,1,5.5,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,822,0.5,22B,22,,2,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,822,5,0.1,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,824,7,23,23,BIG PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,824,7,1,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,ZIGEDE,830,7.5,22A,22,,1,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,830,7,1.0714285714285714,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,838,6.5,36,36,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,838,7,0.9285714285714286,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,911,6.5,23,23,MEDIUM BASKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,911,1,6.5,3
201011000003,c108a854e8e9bef3d5a7556ef051013c,2,2,1,,5022,6,23,23,SCUD,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,5022,6,1,3
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,105,1,10B,10,,2,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,105,2,0.5,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,109,2,72,72,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,109,2,1,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,205,1,23,23,SMALL BOX TEA BAGS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,205,8,0.125,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,302,7,37,37,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,302,3,2.3333333333333335,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,411,0.5,23,23,DROPS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,411,2,0.25,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,506,3.5,55,55,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,506,3,1.1666666666666667,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,510,2,23,23,CLOVE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,510,4,0.5,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,606,3.5,23,23,BIG PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,606,6,0.5833333333333334,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,607,7,23,23,CLOVE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,607,7,1,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,708,7,23,23,PLATE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,708,4,1.75,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,813,1.5,23,23,CLOVE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,813,10,0.15,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,826,3,23,23,20G,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,826,7,0.42857142857142855,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,828,6.5,9A,9,,1,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,828,8,0.8125,1
201011000004,45e28358fd8627fdbe8ddf2dcf62659e,2,2,1,,831,7,23,23,SMALL TIN,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,831,2,3.5,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,112,7,23,23,JAG,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,112,6,1.1666666666666667,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,202,1,23,23,SERVING,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,202,5,0.2,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,204,4.5,23,23,PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,204,6,0.75,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,205,4.5,23,23,GRAMS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,205,8,0.5625,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,208,3.5,23,23,125G PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,208,8,0.4375,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,307,7,8C,8,,3,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,307,5,1.4,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,410,2,23,23,SMALL NALI,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,410,5,0.4,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,413,9,18,18,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,413,2,4.5,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,504,4.5,23,23,HALF LOAF,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,504,2,2.25,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,508,1.5,23,23,TABLE SPOON,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,508,2,0.75,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,514,4,25A,25,,NA,1,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,514,7,0.5714285714285714,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,702,3,23,23,MEAL,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,702,5,0.6,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,705,9.5,23,23,PACKET OF 125 GRAMS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,705,2,4.75,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,708,5,23,23,80G PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,708,4,1.25,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,803,1.5,23,23,SERVING,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,803,1,1.5,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,822,3,43,43,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,822,2,1.5,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,832,9.5,23,23,LARGE NDOWA,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,832,6,1.5833333333333333,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,833,5.5,23,23,TONEC,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,833,2,2.75,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,907,4,23,23,20G,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,907,8,0.5,1
201011000005,4472919b195eb3d0dd527d2de706a6ce,2,2,1,,910,7.5,23,23,20 LITRE PAIL,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,910,7,1.0714285714285714,1
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,103,2.5,23,23,PACKET (300G),NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,103,1,2.5,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,108,3.5,23,23,PACKET (MEDIUM),NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,108,7,0.5,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,112,6,23,23,350L BOTTLE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,112,6,1,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,404,7,23,23,PIECE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,404,6,1.1666666666666667,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,704,6.5,60,60,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,704,5,1.3,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,803,3,23,23,PAIL (UNSPECIFIED),NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,803,9,0.3333333333333333,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,815,1.5,9B,9,,2,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,815,7,0.21428571428571427,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,822,6,23,23,LOAF,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,822,5,1.2,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,908,9,23,23,PAIL (MEDIUM),NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,908,6,1.5,3
201011000006,695def6a945f7f46a3bdbc28659861fc,2,2,1,,5032,4,23,23,HANDFUL,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,5032,3,1.3333333333333333,3
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,105,2,10B,10,,2,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,105,2,1,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,108,3,23,23,SMALL  PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,108,1,3,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,109,5.5,34,34,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,109,7,0.7857142857142857,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,110,7,23,23,MEDIUM TINS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,110,8,0.875,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,111,9,23,23,SMALL SARCHET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,111,8,1.125,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,113,9,23,23,QUARTER,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,113,2,4.5,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,114,8,23,23,RUBE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,114,3,2.6666666666666665,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,205,1.5,23,23,SACHET  LARGE,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,205,4,0.375,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,208,8.5,23,23,SATCHET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,208,5,1.7,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,405,10,23,23,BUNCH,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,405,10,1,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,409,4.5,65,65,,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,409,1,4.5,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,410,8.5,23,23,SMALL POCKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,410,8,1.0625,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,TINNED BEANS,412,5.5,25C,25,,3,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,412,8,0.6875,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,504,1.5,23,23,5L BUCKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,504,5,0.3,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,510,7,23,23,BIG PACKET,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,510,8,0.875,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,602,9.5,23,23,SA HETS,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,602,5,1.9,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,606,1,23,23,JAR,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,606,3,0.3333333333333333,1
201011000007,273e6307dd38f75af372c33b509a3a86,2,2,1,,608,10,6A,6,,NA,1,NA,,NA,,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,,NA,NA,608,8,1.25,1
